"rel_path","category","size_bytes","sha256","mtime"
"17_같이해요_글쓰기.html","neighbor-conversation","19260","546F6171A76F9E36683FCC2DD305C7C5966468BD95B4461659F47DAA6B918352","2026-09-04 20:20:30"
"18_공통앱셸.html","shell","132","787294FB5EFD87C36BFCFD076F2727138E008AE2CB00A112C13649E02AE0883D","2026-09-04 03:12:55"
"19_내정보_메인.html","summary","42247","2277F50DAF2701CABB704BFA7BC16EE0B41308FBAA1CEAA8E76A68F4EC0CF915","2026-09-04 21:42:51"
"20_메시지함_목록.html","messages","31195","15FBCDA8531BE76BBF4F03947A3C467FB115123C08A403B9E10D8D5587FE81C4","2026-09-04 05:33:13"
"21_메시지_대화상세.html","conversation","41223","6B202B2726263B4763A7983DE79DE07ADAEBE92A5EAFDF2B966B9B41F396D5C0","2026-09-04 05:33:34"
"22_주민_공개프로필.html","profile","40549","8B099996864FDEAF8B445DBBEAC726A27FCE9C5E391ACAB3D2AA2B6530C25A43","2026-09-04 17:57:02"
"23_이웃온기.html","HOLD(#263/23)","33781","4E725A2E4EC46043B35A701436378E0C566161C24779D1B570A445EDA766A3AE","2026-09-04 05:33:54"
"24_설정.html","settings","58903","AEC4402484C15AF8693C3055A40B320629B284F1AC0B3F3C1DF7F038EDCD10EA","2026-09-04 22:03:38"
"25_1대1문의.html","inquiries","28597","82E0E33FA785650AD6787E9E2E106EEB65827DE0826C559EC0C4A4E9FB9273CD","2026-09-04 22:03:54"
"25A_신청제보.html","registration","35087","EA407A52078E24965C36A605A90EC25723E9B8DB4A2234F03C844099E91A10F1","2026-09-04 21:30:38"
"26_우리집연결.html","household","37380","F5730EA8624645F990878088A35C7E14146A8046A3A159797AB3D4A631B32CC7","2026-09-04 21:30:24"
"27_알림함.html","notifications","32230","6D5EFF30FD91DB0F1918FC9361BA37E2D191637443A5B2DABEC1A1E2822200E5","2026-09-04 05:34:47"
"28_나의활동.html","activity","35315","39D89D0E3A981C6C4D8C4B3335E5669E8CCB6B0BA7BB8835CAE79C60CAB909FF","2026-09-04 05:34:57"
"검수영상\실패\녹화_2026_09_04_03_20_07_626.mp4","qa_video","34309699","4C136F2B0F9A9B8E465F846CDE56AAF3E520DBD1FA229095EA4CB673AB3C1AA3","2026-09-04 03:24:22"
"검수영상\실패\녹화_2026_09_04_15_54_44_402.mp4","qa_video","59078607","5E0C78B23E74CAB7F28A38C33EB22F74B2930C9586BB0522579192239CC7F3BD","2026-09-04 16:02:03"
"검수영상\실패\녹화_2026_09_04_16_02_41_221.mp4","qa_video","33006548","0465A344369D8E01D8CE596EE4FF6C18D75A432B117B738F4BDA0466225005E1","2026-09-04 16:06:39"
"검수영상\실패\녹화_2026_09_04_17_30_39_797.mp4","qa_video","75797409","C10613C80F686714840639D9C0496B938900A27931631F80C9611E27C3084247","2026-09-04 17:37:24"
"검수영상\실패\녹화_2026_09_04_19_29_20_452.mp4","qa_video","65745349","FC418997ACE53BCC4BD2C43CFB988CB937D0982A069DEFC8BA2BA3B5508E35A4","2026-09-04 19:36:15"
"검수영상\실패\녹화_2026_09_04_21_16_40_960.mp4","qa_video","4422880","0B19F3B6FB65987E3CE03FF956BFA9DF9769EE36CF9531480498E7CF01BADDFE","2026-09-04 21:17:15"
"검수영상\실패\녹화_2026_09_04_21_50_23_380.mp4","qa_video","6909149","01FE3BCF861B1975F15B0EB65CB348B1307356D2C54BDA09783EFCA3E5962740","2026-09-04 21:51:11"
"검수영상\실패\점검1.mp4","qa_video","26704788","8C70FA062E95DD7507813AFD595E334A8CE2B59E50754D1658F54B8A487AC1D4","2026-09-04 20:28:40"
"검수영상\최종점검-앱.mp4","qa_video","26844320","B04CC82AADB9822D6FC57DF8794D3E04B5F0780C3AAF4363B1EDF37A57CA3DB2","2026-09-04 22:16:57"
"검수영상\최종점검-웹.mp4","qa_video","37237644","D307B9A7A0BA48C1D45F68A5E5F5A43450FD7C1F90A61BE0801E40A78EE81FF2","2026-09-04 22:14:01"
"app.html","qa_preview","865","8334B356A3D079A0C5A0605A7AF3B2ABAE9E58144F910C03DB1CDFA67964B654","2026-09-04 20:42:35"
"assets\bangnim-road-hill.png","shared_asset","393216","54CD45B866EBA80E72E24CB728E1E75C88A108C74293855BC6699EB5D9307463","2026-09-04 03:10:12"
"assets\consistency.css","shared_asset","35937","869C31F8B760D5F695FED0E8B131379205EC055718742598BF7EC8D484A08A71","2026-09-04 21:29:03"
"assets\consistency.js","shared_asset","21890","83137B9BF2AB24D893B2A7E19C04F69789B518CEFD0666956B4095DCFC63C775","2026-09-04 04:49:34"
"assets\home-florist.png","shared_asset","2239153","23920A339F77E0D24DE692939A87911A5D69715D0091A3958C14020874927BD2","2026-09-04 03:10:45"
"assets\neighbors-8.png","shared_asset","2245301","E14A7B2F3BB93E5900B4EA6E2671831CA2E28E2193ACE7A21B27F871C6B1481E","2026-09-04 03:10:04"
"assets\roadhill-evening.png","shared_asset","2358137","F2C23D2A2CE15217E38A8AC96FEB6F8F11DE75101E27BA678EABBBB24F478DC4","2026-09-04 03:10:52"
"assets\scene-car.webp","shared_asset","38848","C6F342C9C1420FD242BDDC3B396A9AEEC5B838595B5908B2CBD215F343D00620","2026-09-04 03:10:36"
"assets\scene-food.webp","shared_asset","43662","62945189DF24E330089D26B2F947C88E616F10976764586FF7D27D9766C21564","2026-09-04 04:49:41"
"assets\scene-learning.webp","shared_asset","17810","62B6985C1174C7CF9A0A25A358077B2287EF3CEEC403BFE5D5AD22D70B45C4D8","2026-09-04 03:10:25"
"assets\scene-photo.webp","shared_asset","42916","25BD40D65593ACAE62E481DE3ECBC4AC8A8E9A631745850DDEE5A9E0A188D714","2026-09-04 03:10:19"
"index.html","web_entry","55447","217FA2DF9C8A3319A3773D6C7997DB5EA845A3E7A60D36EDA97F7F193FBE9698","2026-09-04 16:52:56"
"README_BACKEND_HANDOFF_20260904.md","host_doc","4981","EAE8C889F7B334C309230F9CCADC897005BA94DAF51FF20ABF5FC3BC8C39EB15","2026-09-04 21:44:26"
